situation_lemmatized,situation_lemmatized_lowered
"I scream at a Little Girl for tripping, make me trip, and make me lose a race.","I i scream at a little girl for tripping, make me trip, and make me lose a race."
I eat a lot.,I i eat a lot.
I don’t think I deserve friends.,I i don’t think i deserve friends.
I hate cosplay and cosplayers......,I i hate cosplay and cosplayers......
I use my social anxiety to get what i want.,I i use my social anxiety to get what i want.
I do something I shouldn't have.,I i do something i shouldn't have.
I scar and threaten an abusive kid in a game.,I i scar and threaten an abusive kid in a game.
I scar and threaten an abusive kid in a game.,I i scar and threaten an abusive kid in a game.
I feel like I'm meant to do something important despite be a complete loser.,I i feel like i'm meant to do something important despite be a complete loser.
I miss be in love. I'd take back any of my ex because I am so much happy when I am with any of them but I know it's not the right thing to do.,I i miss be in love. i'd take back any of my ex because I am so much happy when I am with any of them but i know it's not the right thing to do.
I enjoy ruin a woman's reputation because she's a fraudster.,I i enjoy ruin a woman's reputation because she's a fraudster.
I enjoy ruin a woman's reputation because she's a fraudster.,I i enjoy ruin a woman's reputation because she's a fraudster.
I think I just realize that I am only attracted to abusive women..,I i think i just realize that I am only attracted to abusive women..
I think I just realize that I am only attracted to abusive women..,I i think i just realize that I am only attracted to abusive women..
I spy and record my roommate in the shower and he do not know.,I i spy and record my roommate in the shower and he do not know.
I spy and record my roommate in the shower and he do not know.,I i spy and record my roommate in the shower and he do not know.
I amlieve the world be about to unravel.,I I amlieve the world be about to unravel.
"I make cam girl think I'm go private, and then disconnect.","I i make cam girl think i'm go private, and then disconnect."
"I make cam girl think I'm go private, and then disconnect.","I i make cam girl think i'm go private, and then disconnect."
"I make cam girl think I'm go private, and then disconnect.","I i make cam girl think i'm go private, and then disconnect."
"I make cam girl think I'm go private, and then disconnect.","I i make cam girl think i'm go private, and then disconnect."
I saw a light mode user and I didn’t tell him to turn on dark mode.,I i saw a light mode user and i didn’t tell him to turn on dark mode.
I’m a street harasser.,I i’m a street harasser.
I’m a street harasser.,I i’m a street harasser.
"I give up on life, I amlieve I am doom to be a loser.","I i give up on life, I amlieve I am doom to be a loser."
I can't get off to anything but the story I write anymore.,I i can't get off to anything but the story i write anymore.
I like when people comment on my post.,I i like when people comment on my post.
I like when people comment on my post.,I i like when people comment on my post.
"I bite myself out of selfharm, it bruise and i keep bruise it without my SO knowing.","I bit myself out of selfharm, it bruise and i keep bruise it without my so knowing."
"I bite myself out of selfharm, it bruise and i keep bruise it without my SO knowing.","I bit myself out of selfharm, it bruise and i keep bruise it without my so knowing."
"I’m 15 and trans, and I despise the far left and the far right.","I i’m 15 and trans, and i despise the far left and the far right."
I steal your gas...,I i steal your gas...
I Think Modern Day Feminism Is Cancer And It's Destroying Relationships In The Western World.,I i think modern day feminism be cancer and it's destroy relationship in the western world.
"I genuinely hate my brother, and I hope he dies.","I i genuinely hate my brother, and i hope he dies."
I key someone’s car for the first time and it felt great.,I i key someone’s car for the first time and it felt great.
I key someone’s car for the first time and it felt great.,I i key someone’s car for the first time and it felt great.
Everytime I laugh out loud the first thing I say be ''I'm sorry'' and I'm so sick of it.,I everytime i laugh out loud the first thing i say be ''i'm sorry'' and i'm so sick of it.
Everytime I laugh out loud the first thing I say be ''I'm sorry'' and I'm so sick of it.,I everytime i laugh out loud the first thing i say be ''i'm sorry'' and i'm so sick of it.
I see myself as the fat white girl from Glee.,I i see myself as the fat white girl from glee.
I have no one to talk with my success about.,I i have no one to talk with my success about.
I dont like go out with my boyfriend because his personality when we are out be embarrassing.,I i dont like go out with my boyfriend because his personality when we are out be embarrassing.
I dont like go out with my boyfriend because his personality when we are out be embarrassing.,I i dont like go out with my boyfriend because his personality when we are out be embarrassing.
I use my hair as floss when I really need to.,I i use my hair as floss when i really need to.
"I break a friend's heart, but I'm reveling in the heartbreak I cause him.","I i break a friend's heart, but i'm reveling in the heartbreak i cause him."
My Mom Tortured My Navel.,I my mom torture my navel.
I resent me friends..,I i resent me friends..
We Need To Start Implementing a JEW Tax.,We need to start implement a jew tax.
When I am a child I sneak out of my backyard to spend almost all day with a way old friend.,I when I am a child i sneak out of my backyard to spend almost all day with a way old friend.
I run my knife over my gf when she sleeps.,I i run my knife over my gf when she sleeps.
I run my knife over my gf when she sleeps.,I i run my knife over my gf when she sleeps.
I think I am molest by my stepbrother.,I i think I am molest by my stepbrother.
I amcome facebook stalked and become obsess with this guy I didn't know 2 year ago.. now befriend him irl.,I I amcome facebook stalked and become obsess with this guy i didn't know 2 year ago.. now befriend him irl.
I Men Are Better Than Women.,I men be good than woman.
"I love my man, but really enjoy my affair.","I i love my man, but really enjoy my affair."
"I love my man, but really enjoy my affair.","I i love my man, but really enjoy my affair."
I want to cut again.,I i want to cut again.
I hate it when people undermine my hardwork and success by say its because you're asian.,I i hate it when people undermine my hardwork and success by say its because you're asian.
"I obtain employee of the month while unbeknownst to my employers, I show up at least 2 hour late everyday.","I i obtain employee of the month while unbeknownst to my employers, i show up at least 2 hour late everyday."
"I obtain employee of the month while unbeknownst to my employers, I show up at least 2 hour late everyday.","I i obtain employee of the month while unbeknownst to my employers, i show up at least 2 hour late everyday."
I use my sock as a napkin.,I i use my sock as a napkin.
I want to let my friend know how i feel about her.,I i want to let my friend know how i feel about her.
I don’t see a future with my fiancé but be too scar to leave him.,I i don’t see a future with my fiancé but be too scar to leave him.
I am not convince that all ethnicity be equally intelligent.,I I am not convince that all ethnicity be equally intelligent.
I realize I am in love with my best friend after my marriage last week.,I i realize I am in love with my best friend after my marriage last week.
I pretend to be strong but I'm really not.,I i pretend to be strong but i'm really not.
"I get new silverware for Christmas, and rather than toss my old, fall apart silverware, have instead be use my old stuff one last time and toss it instead of wash it. Probably the lazy thing I’ve do to avoid dishes, and my mom would be so ashamed.","I i get new silverware for christmas, and rather than toss my old, fall apart silverware, have instead be use my old stuff one last time and toss it instead of wash it. probably the lazy thing i’ve do to avoid dishes, and my mom would be so ashamed."
I love to be emotionally abused.,I i love to be emotionally abused.
I fantasize about murder everybody who have wrong me.,I i fantasize about murder everybody who have wrong me.
I hate shamrock shake season.,I i hate shamrock shake season.
I firmly believe that people who've die from be choke by a nerd's thigh must have be enjoy it.,I i firmly believe that people who've die from be choke by a nerd's thigh must have be enjoy it.
I dread my boyfriend go to a rave party in Vietnam.,I i dread my boyfriend go to a rave party in vietnam.
I stop date her because her mom be fat.,I i stop date her because her mom be fat.
I just find out my IQ be 98.,I i just find out my iq be 98.
"Deep down, I dont like myself.","I deep down, i dont like myself."
I I've watch Friends before go to bed for the past 6 year and don't plan on stopping.,I i've watch friend before go to bed for the past 6 year and don't plan on stopping.
I I've watch Friends before go to bed for the past 6 year and don't plan on stopping.,I i've watch friend before go to bed for the past 6 year and don't plan on stopping.
As the username implies: I can't get my prof out of my head!.,I as the username implies: i can't get my prof out of my head!.
When people I know don’t follow me back on Instagram—I go unfollow them.,I when people i know don’t follow me back on instagram—i go unfollow them.
As the username implies: I can't get my prof out of my head!.,I as the username implies: i can't get my prof out of my head!.
I dont see the point of living.,I i dont see the point of living.
I work for the most hated internet publish company in the world.finally quit 2 month ago but nobody know.,I i work for the most hated internet publish company in the world.finally quit 2 month ago but nobody know.
I copy someone else's answer on a quiz today and the guilt be eat me alive.,I i copy someone else's answer on a quiz today and the guilt be eat me alive.
Today I drive around the block and lose the love of my life.,I today i drove around the block and lose the love of my life.
I ruin people’s grocery if they hit their kid in my line.,I i ruin people’s grocery if they hit their kid in my line.
I ruin people’s grocery if they hit their kid in my line.,I i ruin people’s grocery if they hit their kid in my line.
I think I'm dyslexic or something.,I i think i'm dyslexic or something.
I have multiple friend slip into alcoholism and it terrify me.,I i have multiple friend slip into alcoholism and it terrify me.
I have multiple friend slip into alcoholism and it terrify me.,I i have multiple friend slip into alcoholism and it terrify me.
"I spend a lot of time on Twitter and sub for thing I strongly disagree with, because it distract me from hat myself by let me hate other people instead.","I i spend a lot of time on twitter and sub for thing i strongly disagree with, because it distract me from hat myself by let me hate other people instead."
I avoid human interaction more often than not with transit.,I i avoid human interaction more often than not with transit.
I avoid human interaction more often than not with transit.,I i avoid human interaction more often than not with transit.
I can't trust my own mind.,I i can't trust my own mind.
I Pirating Movies be Evil!.,I pirate movie be evil!.
I pretend to be transgender so I could spy on girl in the locker room.,I i pretend to be transgender so i could spy on girl in the locker room.
"I spoil Star Wars, massively.","I i spoil star wars, massively."
I miss be bulimic.,I i miss be bulimic.
I Have A Little Crush On My Manager.,I i have a little crush on my manager.
I Have A Little Crush On My Manager.,I i have a little crush on my manager.
I Nothing make me happy anymore.,I don'thing make me happy anymore.
I steal my mom's money. Now I'm feel so messed up. I'm such a bad person.,I i steal my mom's money. now i'm feel so messed up. i'm such a bad person.
I steal my mom's money. Now I'm feel so messed up. I'm such a bad person.,I i steal my mom's money. now i'm feel so messed up. i'm such a bad person.
I see absolutely nothing wrong with gold digging and I think men be just jealous of woman who can pull it off.,I i see absolutely nothing wrong with gold digging and i think men be just jealous of woman who can pull it off.
I see absolutely nothing wrong with gold digging and I think men be just jealous of woman who can pull it off.,I i see absolutely nothing wrong with gold digging and i think men be just jealous of woman who can pull it off.
We Need To Start Wiretapping Mosques.,We need to start wiretapping mosque.
We Need To Start Wiretapping Mosques.,We need to start wiretapping mosque.
I have an unhealthy obsession with a classmate.,I i have an unhealthy obsession with a classmate.
I just need to be alone.,I i just need to be alone.
Sometimes I wish I get into an accident or have something wrong with me.,I sometimes i wish i get into an accident or have something wrong with me.
I get pay to do nothing. 20 year old software developer make 60K a year AMA.,I i get pay to do nothing. 20 year old software developer make 60k a year ama.
I hate my mom when she eat.,I i hate my mom when she eat.
I hate my mom when she eat.,I i hate my mom when she eat.
I get turn on by jealousy.,I i get turn on by jealousy.
I cheat my on girlfriend with my best friend's girlfriend..,I i cheat my on girlfriend with my best friend's girlfriend..
I I'm about to quit my job and I'm absolutely terrify.,I i'm about to quit my job and i'm absolutely terrified.
I suffer separation anxiety when my boyfriend fall asleep.,I i suffer separation anxiety when my boyfriend fall asleep.
"I Feeding cornsnake a day late, feel bad.","I feed cornsnake a day late, feel bad."
Sometimes I hate be disable.,I sometimes i hate be disable.
Sometimes I hate be disable.,I sometimes i hate be disable.
I Kissed my work husband.,I kiss my work husband.
"Every day I dream about be a girl, but I'm too scar to do anything about it..","I every day i dream about be a girl, but i'm too scar to do anything about it.."
I sleep with two of my coworkers and im married..,I i sleep with two of my coworkers and im married..
I sleep with two of my coworkers and im married..,I i sleep with two of my coworkers and im married..
I sleep with two of my coworkers and im married..,I i sleep with two of my coworkers and im married..
I sleep with two of my coworkers and im married..,I i sleep with two of my coworkers and im married..
I make my mexican roommate do all the cleaning because I figure he enjoy it.,I i make my mexican roommate do all the cleaning because i figure he enjoy it.
I make my mexican roommate do all the cleaning because I figure he enjoy it.,I i make my mexican roommate do all the cleaning because i figure he enjoy it.
"When I'm driving, I zone out and my mind start racing.","I when i'm driving, i zone out and my mind start racing."
I make my mexican roommate do all the cleaning because I figure he enjoy it.,I i make my mexican roommate do all the cleaning because i figure he enjoy it.
I haven't interact with someone my age in months.,I i haven't interact with someone my age in months.
I just learn how to control my heart-beat.,I i just learn how to control my heart-beat.
I talk to my ex after almost a year. Realized I still miss her.,I i talk to my ex after almost a year. realize i still miss her.
I talk to my ex after almost a year. Realized I still miss her.,I i talk to my ex after almost a year. realize i still miss her.
I strangle nlggers with my whip.,I i strangle nlggers with my whip.
"I lose 5,600$ tonight.","I i lose 5,600$ tonight."
I have no friend to talk me through this terrible time in my life.,I i have no friend to talk me through this terrible time in my life.
I think fat people should lose some weight for health reason.,I i think fat people should lose some weight for health reason.
I want to stuff Jessica Jones.,I i want to stuff jessica jones.
I secretly hate my kid.,I i secretly hate my kid.
I’m a pizza delivery driver and I intentionally say “Enjoy” to every customer as I’m leave because I think it’s funny when they say “you too”.,I i’m a pizza delivery driver and i intentionally say “enjoy” to every customer as i’m leave because i think it’s funny when they say “you too”.
I tell my cousin that I am always jealous of him.,I i tell my cousin that I am always jealous of him.
I lie so much I'm start to believe them myself.,I i lie so much i'm start to believe them myself.
"Last year I try to hang myself… failed. The next morning, the news of my hero Bourdain breaks.","I last year i try to hang myself… failed. the next morning, the news of my hero bourdain breaks."
I cut myself again last night and can't tell my roommate about it.,I i cut myself again last night and can't tell my roommate about it.
I think I might have an anxiety attack tonight.,I i think i might have an anxiety attack tonight.
I miss get high.,I i miss get high.
I find out I am pregnant about two week ago.,I i find out I am pregnant about two week ago.
I find out I am pregnant about two week ago.,I i find out I am pregnant about two week ago.
I don’t know what to do for a job.,I i don’t know what to do for a job.
I'm 14 but I often say I'm 15 because it sound well.,I i'm 14 but i often say i'm 15 because it sound well.
I Licked bandage from a girl I am obsess with.,I lick bandage from a girl I am obsess with.
I havent see my boy since Christmas I think.,I i havent see my boy since christmas i think.
I think I’m a social eater.,I i think i’m a social eater.
I want war with Russia.,I i want war with russia.
I cut myself just to feel like I fit in.,I i cut myself just to feel like i fit in.
Here’s a confession. I stumble upon the profile of an online boyfriend from the past and have a mental breakdown.,I here’s a confession. i stumble upon the profile of an online boyfriend from the past and have a mental breakdown.
I‘m pretty sure I give a metal musician headlice.,I i‘m pretty sure i give a metal musician headlice.
"Once when I am a kid, I am play Monopoly with friend and I am the banker. I lie about how much money I put in the bank to buy Park Place, and I’m still deal with this today.","I once when I am a kid, I am play monopoly with friend and I am the banker. i lie about how much money i put in the bank to buy park place, and i’m still deal with this today."
I Flirting with my cousin!.,I flirt with my cousin!.
I Flirting with my cousin!.,I flirt with my cousin!.
I want all the mentally ill people in my evironment go.,I i want all the mentally ill people in my evironment go.
I write and produce a famous song and sell the rights. It haunt me everyday.,I i write and produce a famous song and sell the rights. it haunt me everyday.
I have have seethe anger in me for the past two months.,I i have have seething anger in me for the past two months.
I Do you know anyone that DOES NOT like any Parties?.,I do you know anyone that do not like any parties?.
I keep get fool.,I i keep get fool.
"I pooped my pant during hide and seek, and the smell give me away!.","I i pooped my pant during hide and seek, and the smell give me away!."
I use my loneliness to write Romance.,I i use my loneliness to write romance.
I cry myself to sleep sometimes.,I i cry myself to sleep sometimes.
I just eat an entire bag of Chips Ahoy cooky and a liter of chocolate milk.,I i just eat an entire bag of chip ahoy cooky and a liter of chocolate milk.
I just eat an entire bag of Chips Ahoy cooky and a liter of chocolate milk.,I i just eat an entire bag of chip ahoy cooky and a liter of chocolate milk.
"I tell people that I read newspapers, but I just go on their website and read the comments.","I i tell people that i read newspapers, but i just go on their website and read the comments."
"I tell people that I read newspapers, but I just go on their website and read the comments.","I i tell people that i read newspapers, but i just go on their website and read the comments."
I sometimes tell my boyfriend I’m go to sleep so i can watch YouTube uninterrupted.,I i sometimes tell my boyfriend i’m go to sleep so i can watch youtube uninterrupted.
One time I order Chinese food delivery for myself and it come with three set of utensils. And by one time I mean almost every time.,I one time i order chinese food delivery for myself and it come with three set of utensils. and by one time i mean almost every time.
One time I order Chinese food delivery for myself and it come with three set of utensils. And by one time I mean almost every time.,I one time i order chinese food delivery for myself and it come with three set of utensils. and by one time i mean almost every time.
I think about cheat on my mentally sick girlfriend every moment I’m alive and I’m go insane consider it.,I i think about cheat on my mentally sick girlfriend every moment i’m alive and i’m go insane consider it.
I am actually a pretty mean and judgmental person.,I I am actually a pretty mean and judgmental person.
I may have be catch catfishing.,I i may have be catch catfishing.
I hate who I am and my choice I’ve make.,I i hate who I am and my choice i’ve make.
I hate who I am and my choice I’ve make.,I i hate who I am and my choice i’ve make.
I Martin Luther Koon Got What He Deserved.,I martin luther koon get what he deserve.
I have a crush on my coworker who have a gf and it doesn’t bother me.,I i have a crush on my coworker who have a gf and it doesn’t bother me.
I have a crush on my coworker who have a gf and it doesn’t bother me.,I i have a crush on my coworker who have a gf and it doesn’t bother me.
Am I the only one who doesn't care what go on in other people's relationships? Mainly cheating.,I am i the only one who doesn't care what go on in other people's relationships? mainly cheating.
I wish I would've never go to college.,I i wish i would've never go to college.
I always hold a bad grudge after a argument.,I i always hold a bad grudge after a argument.
I always hold a bad grudge after a argument.,I i always hold a bad grudge after a argument.
I let people abuse me.,I i let people abuse me.
I despise my dad and be consider cut off contact him with.,I i despise my dad and be consider cut off contact him with.
I despise my dad and be consider cut off contact him with.,I i despise my dad and be consider cut off contact him with.
I want to pick a fight with my parent for not be there for me more often.,I i want to pick a fight with my parent for not be there for me more often.
"When I am 13 year old, I have a romantic relationship with a 20 year old. We are together for 4 years.","I when I am 13 year old, i have a romantic relationship with a 20 year old. we are together for 4 years."
I crash my car because I am listen to Nightrain.,I i crash my car because I am listen to nightrain.
I use to be a pervert.,I i use to be a pervert.
I have be struggle with hallucinations.,I i have be struggle with hallucinations.
I just have something weird and romantic for animals..,I i just have something weird and romantic for animals..
I want to ban all immigrant because I don’t like foreign culture.,I i want to ban all immigrant because i don’t like foreign culture.
I go into the work bathroom to take little 10 to 20 minute power nap when I'm fall asleep on the desk.,I i go into the work bathroom to take little 10 to 20 minute power nap when i'm fall asleep on the desk.
I like grunge music because it express how I feel.,I i like grunge music because it express how i feel.
I I'm tire of my sister-in-law and wish we never try to help her have a good life.,I i'm tired of my sister-in-law and wish we never try to help her have a good life.
I almost drown a baby.,I i almost drown a baby.
I hate see white guy and asian girl couple.,I i hate see white guy and asian girl couple.
I hate see white guy and asian girl couple.,I i hate see white guy and asian girl couple.
I catfished multiple people when I am 11 year old.,I i catfished multiple people when I am 11 year old.
I keep click on a LegalZoom ad for selfish reasons.,I i keep click on a legalzoom ad for selfish reasons.
I get a massive sense of relief when I see my friend on Discord because that mean she's not out with others.,I i get a massive sense of relief when i see my friend on discord because that mean she's not out with others.
I tell on my classmate in 7th grade.,I i tell on my classmate in 7th grade.
I pay 50$ to a homeless guy to participate in a ballbusting video.,I i pay 50$ to a homeless guy to participate in a ballbusting video.
I ghost the only girl who ever love me.,I i ghost the only girl who ever love me.
I would if I could get away with it.,I i would if i could get away with it.
I Whites should be force to abort their child unless they are of a mixed racial ancestry.,I white should be force to abort their child unless they are of a mixed racial ancestry.
I Bog standard. Fooled around with a married friend.,I bog standard. fool around with a married friend.
I Bog standard. Fooled around with a married friend.,I bog standard. fool around with a married friend.
I Bog standard. Fooled around with a married friend.,I bog standard. fool around with a married friend.
I dream about Obama call HIMSELF the N-word last night.,I i dream about obama call himself the n-word last night.
I enjoy be molest by my step-father.,I i enjoy be molest by my step-father.
I enjoy be molest by my step-father.,I i enjoy be molest by my step-father.
I know im in love with my husband bestfriend.,I i know im in love with my husband bestfriend.
I know im in love with my husband bestfriend.,I i know im in love with my husband bestfriend.
I know im in love with my husband bestfriend.,I i know im in love with my husband bestfriend.
I wrack up thousand of dollar of debt.,I i wrack up thousand of dollar of debt.
When I see literally anything Wholesome I feel nothing.,I when i see literally anything wholesome i feel nothing.
I always correct others when they are wrong or when I think they are wrong.,I i always correct others when they are wrong or when i think they are wrong.
"Almost 100% sure I have ADHD, it is ruin my life, and will not have it diagnosed.","I almost 100% sure i have adhd, it is ruin my life, and will not have it diagnosed."
"Almost 100% sure I have ADHD, it is ruin my life, and will not have it diagnosed.","I almost 100% sure i have adhd, it is ruin my life, and will not have it diagnosed."
I get pregnant at 9.,I i get pregnant at 9.
"I can't even speak my mother tongue, I am a freak.","I i can't even speak my mother tongue, I am a freak."
I Depressed about kiss a trans 4 year ago. Suicidal. Chest pain.,I depress about kiss a trans 4 year ago. suicidal. chest pain.
I really didn't feel much when my grandfather die.,I i really didn't feel much when my grandfather die.
I can't do this any more.,I i can't do this any more.
I use to eat Blu-Tack.,I i use to eat blu-tack.
I find people who have the Darwin sign and science bumper sticker as ignorant as the fish bumper sticker for Jesus.,I i find people who have the darwin sign and science bumper sticker as ignorant as the fish bumper sticker for jesus.
I have hurt myself and others with my latent racism.,I i have hurt myself and others with my latent racism.
I have a really intense crush on my bos even though I am married. I can't stop think about him and now I am transfer and won't be see him anymore and I am really sad about it. I almost don't want to transfer to this new job because of him. It's drive me crazy!!.,I i have a really intense crush on my bos even though I am married. i can't stop think about him and now I am transfer and won't be see him anymore and I am really sad about it. i almost don't want to transfer to this new job because of him. it's drive me crazy!!.
I take premium Snapchat picture from girl and send it to their parent and create my own fake premium snapchat of them.,I i take premium snapchat picture from girl and send it to their parent and create my own fake premium snapchat of them.
I am watch Wheel of Fortune right now!.,I I am watch wheel of fortune right now!.
I have a sugar daddy for more than a year while date my boyfriend.,I i have a sugar daddy for more than a year while date my boyfriend.
I’m 28 year old and I don’t have a clue about politics. Not through lack of education but through complete lack of interest and disregard.,I i’m 28 year old and i don’t have a clue about politics. not through lack of education but through complete lack of interest and disregard.
I get into a fight.,I i get into a fight.
I'm in a happy relationship for 3 year BUT I can't stop fantasize other woman.,I i'm in a happy relationship for 3 year but i can't stop fantasize other woman.
I have lose all hope.,I i have lose all hope.
I have a crush on my Lab Mate at Work.,I i have a crush on my lab mate at work.
I have a crush on my Lab Mate at Work.,I i have a crush on my lab mate at work.
I love breathe in clay dust.,I i love breathing in clay dust.
I skip 23 day of school in eighth grade.,I i skip 23 day of school in eighth grade.
I skip 23 day of school in eighth grade.,I i skip 23 day of school in eighth grade.
I fake be half deaf at work so I could use that as an excuse for anything I do wrong or do not do at all..,I i fake be half deaf at work so i could use that as an excuse for anything i do wrong or do not do at all..
I think I'm obsess with my crush..,I i think i'm obsess with my crush..
I am not racist actually the mexican be my friend but I strongly firmly believe they should all be deport to mexico.,I I am not racist actually the mexican be my friend but i strongly firmly believe they should all be deport to mexico.
I'm a girl and I just do something I will regret forever.,I i'm a girl and i just do something i will regret forever.
I still care about my ex fiancé.,I i still care about my ex fiancé.
I think about withdraw what money I can from my account and disappearing for good.,I i think about withdraw what money i can from my account and disappearing for good.
I think about withdraw what money I can from my account and disappearing for good.,I i think about withdraw what money i can from my account and disappearing for good.
I Teach High School and I Always Give the Hot Chicks Better grade.,I i teach high school and i always give the hot chick well grade.
I Teach High School and I Always Give the Hot Chicks Better grade.,I i teach high school and i always give the hot chick well grade.
I love smoke cigarettes. It’s my vice that I do even though I know the health risk.,I i love smoke cigarettes. it’s my vice that i do even though i know the health risk.
I love smoke cigarettes. It’s my vice that I do even though I know the health risk.,I i love smoke cigarettes. it’s my vice that i do even though i know the health risk.
I hit a car and drive off.,I i hit a car and drive off.
I hit a car and drive off.,I i hit a car and drive off.
"I try to avoid responsibility so much that despite my love for animals, I'll never have one myself.","I i try to avoid responsibility so much that despite my love for animals, i'll never have one myself."
I want to be objectify.,I i want to be objectify.
I hate my job and my coworkers.,I i hate my job and my coworkers.
I hate my job and my coworkers.,I i hate my job and my coworkers.
I hate my job and my coworkers.,I i hate my job and my coworkers.
"If I didn't need to, I would never speak to my family again.","I if i didn't need to, i would never speak to my family again."
I'm a terrible salesperson.,I i'm a terrible salesperson.
I I'd rather stay home and drink by myself.,I'D rather stay home and drink by myself.
I just give my dog Zofran so he could feel better. It worked.,I i just give my dog zofran so he could feel better. it worked.
I Witnessed a mudslide and now I'm scar of thunder and garbage truck.,I witness a mudslide and now i'm scar of thunder and garbage truck.
I am a horrible person.,I I am a horrible person.
I contemplate divorce my husband roughly once a month.,I i contemplate divorce my husband roughly once a month.
I flip off an old woman with dementia to her face while she is garden.,I i flip off an old woman with dementia to her face while she is garden.
I flip off an old woman with dementia to her face while she is garden.,I i flip off an old woman with dementia to her face while she is garden.
I think about my death almost daily.,I i think about my death almost daily.
I am plan on end my life soon.,I I am plan on end my life soon.
"No matter how hard I work, no matter how fit I get, I can't feel worthy of be loved.","I no matter how hard i work, no matter how fit i get, i can't feel worthy of be loved."
I hate that all my friend love my mom.,I i hate that all my friend love my mom.
I live in a country that have start put child in cages.,I i live in a country that have start put child in cages.
I feel karma take her baby away and I don’t feel bad.,I i feel karma take her baby away and i don’t feel bad.
"I know it's a bit odd, but.. here's a couple of thing I'd like to say.","I i know it's a bit odd, but.. here's a couple of thing i'd like to say."
"18 year old in college, I lose all my friend and I’ve start have suicidal ideations.","I 18 year old in college, i lose all my friend and i’ve start have suicidal ideations."
"18 year old in college, I lose all my friend and I’ve start have suicidal ideations.","I 18 year old in college, i lose all my friend and i’ve start have suicidal ideations."
I feel like I do something immorally wrong and I can't forgive myself for it?.,I i feel like i do something immorally wrong and i can't forgive myself for it?.
I feel like I do something immorally wrong and I can't forgive myself for it?.,I i feel like i do something immorally wrong and i can't forgive myself for it?.
I am responsible for 3 people’s death.,I I am responsible for 3 people’s death.
I am responsible for 3 people’s death.,I I am responsible for 3 people’s death.
I think my fiancee's mom be hot.,I i think my fiancee's mom be hot.
I am a 23 year old female and fantasize about cheat on my husband.,I I am a 23 year old female and fantasize about cheat on my husband.
I am a 23 year old female and fantasize about cheat on my husband.,I I am a 23 year old female and fantasize about cheat on my husband.
I haven't be able to get out of bed for a week.,I i haven't be able to get out of bed for a week.
I Fallen head over heel and I know i shouldnt have.,I fall head over heel and i know i shouldnt have.
I Fallen head over heel and I know i shouldnt have.,I fall head over heel and i know i shouldnt have.
I only use my tinder to find my ex.,I i only use my tinder to find my ex.
I have a serious gambling problem.,I i have a serious gambling problem.
I love my husband but there be so many thing about him that frustrate me.,I i love my husband but there be so many thing about him that frustrate me.
I have a crackhead fetish.,I i have a crackhead fetish.
I lose 10 pound in 2 month that I do not want to lose.,I i lose 10 pound in 2 month that i do not want to lose.
I am addict to one thing. And I cant get it.,I I am addict to one thing. and i cant get it.
I deprive myself and then I binge and then I hate myself.,I i deprive myself and then i binge and then i hate myself.
I Was rude and angry yesterday after barely eat anything and drink all day.,I am rude and angry yesterday after barely eat anything and drink all day.
I hate my life and I can't stand everyone in it.,I i hate my life and i can't stand everyone in it.
I hate my life and I can't stand everyone in it.,I i hate my life and i can't stand everyone in it.
I’m a sneaky fat pig.,I i’m a sneaky fat pig.
As a cop sometimes I seize money from homeless people because I know they will use that money for food or drug.,I as a cop sometimes i seize money from homeless people because i know they will use that money for food or drug.
As a cop sometimes I seize money from homeless people because I know they will use that money for food or drug.,I as a cop sometimes i seize money from homeless people because i know they will use that money for food or drug.
Love Triangle. Or square.,I love triangle. or square.
Love Triangle. Or square.,I love triangle. or square.
I cut my eyebrow into a slit so that it would scar and make myself look edgy.,I i cut my eyebrow into a slit so that it would scar and make myself look edgy.
I use to call 911 and hang up.,I i use to call 911 and hang up.
I really hate my brother and I don’t care if he die.,I i really hate my brother and i don’t care if he die.
I am secretly plot to get people who work for my company fire.,I I am secretly plot to get people who work for my company fire.
I am secretly plot to get people who work for my company fire.,I I am secretly plot to get people who work for my company fire.
I am a sick f''k.,I I am a sick f''k.
I amat my wife everyday.,I I amat my wife everyday.
I amat my wife everyday.,I I amat my wife everyday.
I really enjoy be intoxicate.,I i really enjoy be intoxicate.
I really hate my brother and I don’t care if he die.,I i really hate my brother and i don’t care if he die.
I wake up every day wish not to have wake up at all.,I i wake up every day wish not to have wake up at all.
I can't help people.,I i can't help people.
I hate my neighbour and I hope she die.,I i hate my neighbour and i hope she die.
I use to fake take shower when I am young.,I i use to fake take shower when I am young.
An Update on the Fat POS Guy.,An update on the fat po guy.
I relapse after 2 month.,I i relapse after 2 month.
I think I’m something of a sociopath.,I i think i’m something of a sociopath.
I think I’m something of a sociopath.,I i think i’m something of a sociopath.
I prefer to be under the influence.,I i prefer to be under the influence.
I wouldn’t mind end my life.,I i wouldn’t mind end my life.
I use to be a text book 'nice guy'.,I i use to be a text book 'nice guy'.
"I hate it when I go to other people's house and their dog approach me, so when the host be not look I kick it in the nut or face.","I i hate it when i go to other people's house and their dog approach me, so when the host be not look i kick it in the nut or face."
I don't like anyone I know.,I i don't like anyone i know.
I don't like anyone I know.,I i don't like anyone i know.
Family May Realize I Was Suicidal.,I family may realize I am suicidal.
I give up on my dream of be a comedian because it is too hard and I am sick of be poor.,I i give up on my dream of be a comedian because it is too hard and I am sick of be poor.
